vibration,label
7,Normal
1987,Critical Leak
170,Small Leak
42,Normal
3297,Critical Leak
10,Normal
9,Normal
42,Normal
50,Normal
37,Normal
2322,Critical Leak
10,Normal
136,Small Leak
27,Normal
5,Normal
32,Normal
11,Normal
25,Normal
40,Normal
7,Normal
48,Normal
149,Small Leak
14,Normal
27,Normal
21,Normal
19,Normal
32,Normal
43,Normal
46,Normal
29,Normal
43,Normal
47,Normal
47,Normal
23,Normal
3341,Critical Leak
181,Small Leak
153,Small Leak
9,Normal
111,Small Leak
32,Normal
1927,Critical Leak
107,Small Leak
116,Small Leak
16,Normal
3337,Critical Leak
2281,Critical Leak
25,Normal
151,Small Leak
14,Normal
92,Small Leak
100,Small Leak
86,Small Leak
23,Normal
23,Normal
105,Small Leak
13,Normal
194,Small Leak
96,Small Leak
27,Normal
129,Small Leak
16,Normal
107,Small Leak
41,Normal
28,Normal
46,Normal
41,Normal
40,Normal
146,Small Leak
10,Normal
13,Normal
90,Small Leak
47,Normal
20,Normal
113,Small Leak
172,Small Leak
14,Normal
3118,Critical Leak
13,Normal
7,Normal
38,Normal
5,Normal
24,Normal
41,Normal
2012,Critical Leak
95,Small Leak
2371,Critical Leak
158,Small Leak
2630,Critical Leak
48,Normal
40,Normal
44,Normal
140,Small Leak
20,Normal
35,Normal
19,Normal
24,Normal
20,Normal
43,Normal
38,Normal
2935,Critical Leak
26,Normal
26,Normal
7,Normal
20,Normal
3405,Critical Leak
32,Normal
45,Normal
7,Normal
148,Small Leak
27,Normal
19,Normal
5,Normal
133,Small Leak
32,Normal
34,Normal
37,Normal
47,Normal
18,Normal
28,Normal
49,Normal
32,Normal
5,Normal
3480,Critical Leak
33,Normal
40,Normal
8,Normal
9,Normal
5,Normal
46,Normal
10,Normal
126,Small Leak
2660,Critical Leak
26,Normal
24,Normal
112,Small Leak
189,Small Leak
46,Normal
30,Normal
10,Normal
13,Normal
190,Small Leak
49,Normal
48,Normal
3147,Critical Leak
1951,Critical Leak
2519,Critical Leak
11,Normal
29,Normal
19,Normal
84,Small Leak
22,Normal
42,Normal
154,Small Leak
165,Small Leak
113,Small Leak
9,Normal
82,Small Leak
14,Normal
5,Normal
28,Normal
33,Normal
37,Normal
7,Normal
127,Small Leak
35,Normal
24,Normal
14,Normal
25,Normal
91,Small Leak
170,Small Leak
47,Normal
7,Normal
87,Small Leak
32,Normal
48,Normal
3071,Critical Leak
2651,Critical Leak
16,Normal
44,Normal
50,Normal
31,Normal
9,Normal
10,Normal
29,Normal
42,Normal
120,Small Leak
13,Normal
47,Normal
21,Normal
38,Normal
153,Small Leak
13,Normal
22,Normal
10,Normal
184,Small Leak
49,Normal
49,Normal
22,Normal
49,Normal
39,Normal
7,Normal
133,Small Leak
1704,Critical Leak
193,Small Leak
48,Normal
29,Normal
22,Normal
2237,Critical Leak
29,Normal
2950,Critical Leak
42,Normal
15,Normal
34,Normal
16,Normal
23,Normal
3918,Critical Leak
39,Normal
194,Small Leak
40,Normal
46,Normal
29,Normal
13,Normal
121,Small Leak
33,Normal
114,Small Leak
26,Normal
25,Normal
46,Normal
43,Normal
29,Normal
44,Normal
171,Small Leak
40,Normal
155,Small Leak
41,Normal
27,Normal
192,Small Leak
46,Normal
10,Normal
42,Normal
23,Normal
92,Small Leak
36,Normal
26,Normal
10,Normal
8,Normal
172,Small Leak
37,Normal
33,Normal
38,Normal
46,Normal
37,Normal
28,Normal
1685,Critical Leak
48,Normal
199,Small Leak
5,Normal
188,Small Leak
20,Normal
8,Normal
198,Small Leak
25,Normal
1621,Critical Leak
50,Normal
16,Normal
19,Normal
47,Normal
18,Normal
14,Normal
27,Normal
18,Normal
152,Small Leak
39,Normal
31,Normal
123,Small Leak
10,Normal
168,Small Leak
27,Normal
5,Normal
91,Small Leak
91,Small Leak
16,Normal
17,Normal
12,Normal
7,Normal
109,Small Leak
40,Normal
13,Normal
25,Normal
174,Small Leak
138,Small Leak
39,Normal
45,Normal
152,Small Leak
2441,Critical Leak
32,Normal
195,Small Leak
22,Normal
134,Small Leak
103,Small Leak
14,Normal
26,Normal
2786,Critical Leak
15,Normal
33,Normal
163,Small Leak
11,Normal
22,Normal
176,Small Leak
11,Normal
12,Normal
3484,Critical Leak
36,Normal
12,Normal
36,Normal
94,Small Leak
50,Normal
9,Normal
48,Normal
100,Small Leak
17,Normal
162,Small Leak
42,Normal
33,Normal
5,Normal
40,Normal
3744,Critical Leak
42,Normal
155,Small Leak
187,Small Leak
109,Small Leak
125,Small Leak
17,Normal
102,Small Leak
2179,Critical Leak
27,Normal
33,Normal
7,Normal
43,Normal
36,Normal
176,Small Leak
2844,Critical Leak
97,Small Leak
117,Small Leak
31,Normal
125,Small Leak
38,Normal
11,Normal
19,Normal
49,Normal
37,Normal
36,Normal
153,Small Leak
119,Small Leak
29,Normal
180,Small Leak
30,Normal
44,Normal
3338,Critical Leak
42,Normal
172,Small Leak
38,Normal
29,Normal
48,Normal
23,Normal
2968,Critical Leak
124,Small Leak
12,Normal
42,Normal
2156,Critical Leak
7,Normal
34,Normal
18,Normal
42,Normal
49,Normal
19,Normal
46,Normal
45,Normal
28,Normal
36,Normal
3052,Critical Leak
49,Normal
34,Normal
2249,Critical Leak
10,Normal
45,Normal
35,Normal
189,Small Leak
40,Normal
111,Small Leak
3617,Critical Leak
3107,Critical Leak
8,Normal
19,Normal
19,Normal
50,Normal
47,Normal
27,Normal
80,Small Leak
1996,Critical Leak
3925,Critical Leak
42,Normal
97,Small Leak
169,Small Leak
161,Small Leak
31,Normal
37,Normal
188,Small Leak
28,Normal
38,Normal
197,Small Leak
149,Small Leak
17,Normal
21,Normal
49,Normal
32,Normal
47,Normal
14,Normal
42,Normal
35,Normal
3214,Critical Leak
39,Normal
6,Normal
2213,Critical Leak
3125,Critical Leak
27,Normal
3428,Critical Leak
168,Small Leak
16,Normal
2290,Critical Leak
41,Normal
45,Normal
11,Normal
28,Normal
26,Normal
109,Small Leak
1661,Critical Leak
165,Small Leak
3377,Critical Leak
36,Normal
7,Normal
3107,Critical Leak
21,Normal
191,Small Leak
83,Small Leak
26,Normal
139,Small Leak
47,Normal
26,Normal
190,Small Leak
29,Normal
38,Normal
34,Normal
38,Normal
49,Normal
45,Normal
94,Small Leak
43,Normal
7,Normal
14,Normal
186,Small Leak
167,Small Leak
5,Normal
107,Small Leak
6,Normal
8,Normal
1680,Critical Leak
10,Normal
34,Normal
29,Normal
195,Small Leak
15,Normal
163,Small Leak
3492,Critical Leak
16,Normal
183,Small Leak
29,Normal
36,Normal
36,Normal
45,Normal
2784,Critical Leak
22,Normal
10,Normal
37,Normal
38,Normal
110,Small Leak
38,Normal
8,Normal
2958,Critical Leak
2154,Critical Leak
23,Normal
30,Normal
25,Normal
18,Normal
23,Normal
187,Small Leak
22,Normal
11,Normal
11,Normal
2356,Critical Leak
29,Normal
2050,Critical Leak
12,Normal
9,Normal
40,Normal
37,Normal
16,Normal
40,Normal
13,Normal
96,Small Leak
50,Normal
45,Normal
19,Normal
23,Normal
20,Normal
17,Normal
32,Normal
143,Small Leak
5,Normal
2006,Critical Leak
84,Small Leak
174,Small Leak
13,Normal
46,Normal
37,Normal
37,Normal
34,Normal
47,Normal
39,Normal
3923,Critical Leak
11,Normal
97,Small Leak
16,Normal
150,Small Leak
14,Normal
40,Normal
121,Small Leak
21,Normal
50,Normal
2852,Critical Leak
31,Normal
156,Small Leak
34,Normal
44,Normal
9,Normal
9,Normal
93,Small Leak
17,Normal
47,Normal
20,Normal
25,Normal
22,Normal
28,Normal
22,Normal
28,Normal
186,Small Leak
32,Normal
15,Normal
129,Small Leak
20,Normal
7,Normal
128,Small Leak
139,Small Leak
24,Normal
16,Normal
16,Normal
16,Normal
7,Normal
41,Normal
2590,Critical Leak
26,Normal
46,Normal
97,Small Leak
32,Normal
17,Normal
36,Normal
126,Small Leak
41,Normal
145,Small Leak
3150,Critical Leak
1591,Critical Leak
3426,Critical Leak
18,Normal
24,Normal
37,Normal
25,Normal
42,Normal
30,Normal
175,Small Leak
93,Small Leak
101,Small Leak
198,Small Leak
2537,Critical Leak
1907,Critical Leak
118,Small Leak
12,Normal
23,Normal
31,Normal
183,Small Leak
28,Normal
84,Small Leak
